"Species","Toxina"
"Dendroapsis angusticeps","KUN"
"Dendroapsis polyepis","KUN"
"Naja haje","KUN"
"Naja melanoleuca","KUN"
"Naja kaouthia (Malaya)","KUN"
"Naja naja (Eastern India)","KUN"
"Naja sputatrix","KUN"
"Ophiophagus hannah","KUN"
"Micrurus altirostris","KUN"
"Micrurus clarki","KUN"
"Micrurus dumerelli","KUN"
"Micrurus fulvius","KUN"
"Micrurus mipartitus","KUN"
"Micrurus mosquitensis","KUN"
"Micrurus multicasciatus","KUN"
"Micrurus tschudii","KUN"
"Austrelaps labialis","CRiSP"
"Drysdalia coronoides","CRiSP"
"Micropechis ikaheka","CRiSP"
"Notechis scutulatus","CRiSP"
"Oxyuranus scutellatus","CRiSP"
"Pseudechis papuanus","CRiSP"
"Aipysurus laevis","CRiSP"
"Hydrophis platurus","CRiSP"
"Hydrophis schitosus","CRiSP"
"Laticauda colubrina","CRiSP"
"Bungarus caeruleus","CRiSP"
"Bungarus candidus (Malaya)","CRiSP"
"Bungarus fasciatus (Vietnam)","CRiSP"
"Bungarus faciatus (Malaya)","CRiSP"
"Dendroapsis angusticeps","CRiSP"
"Naja haje","CRiSP"
"Naja melanoleuca","CRiSP"
"Naja katiensis","CRiSP"
"Naja nigricollis","CRiSP"
"Naja atra (China)","CRiSP"
"Naja atra (Taiwan)","CRiSP"
"Naja kaouthia (China)","CRiSP"
"Naja kaouthia (Malaya)","CRiSP"
"Naja kaouthia (Thailand)","CRiSP"
"Naja kaouthia (Vietnam)","CRiSP"
"Naja naja (Eastern India)","CRiSP"
"Naja naja (North west India)","CRiSP"
"Naja naja (Sri Lanka)","CRiSP"
"Ophiophagus hannah","CRiSP"
"Micrurus altirostris","CRiSP"
